223, 419, 70, 74
227, 411, 70, 77
225, 406, 72, 83
224, 396, 74, 89
210, 384, 80, 98
192, 371, 86, 105
190, 370, 81, 99
196, 375, 71, 87
202, 383, 62, 76
204, 390, 58, 72
206, 391, 55, 70
207, 394, 53, 69
207, 394, 53, 69
209, 396, 54, 69
210, 395, 54, 68
211, 397, 56, 69
211, 395, 59, 71
217, 397, 60, 70
226, 413, 57, 65
238, 420, 56, 65
243, 418, 57, 67
249, 409, 58, 69
257, 396, 60, 71
263, 383, 61, 72
269, 371, 61, 71
276, 359, 61, 71
282, 349, 60, 69
288, 338, 60, 68
294, 327, 60, 67
300, 317, 61, 67
306, 309, 61, 66
313, 302, 61, 66
320, 296, 62, 68
326, 291, 65, 71
331, 281, 67, 74
335, 273, 66, 74
341, 264, 67, 76
344, 256, 70, 81
350, 247, 75, 87
354, 239, 80, 91
358, 231, 83, 94
365, 221, 84, 95
372, 210, 83, 94
377, 203, 82, 93
383, 199, 81, 92
385, 196, 79, 90
389, 192, 77, 89
391, 184, 76, 90
393, 179, 75, 91
395, 173, 73, 91
398, 168, 70, 88
400, 161, 67, 84
404, 159, 63, 80
409, 152, 61, 78
412, 151, 60, 77
417, 149, 57, 74
420, 150, 56, 74
421, 154, 56, 75
421, 157, 55, 73
425, 158, 50, 66
428, 155, 49, 64
429, 153, 48, 62
430, 153, 48, 61
432, 153, 46, 58
434, 153, 44, 55
437, 154, 41, 51
441, 153, 39, 48
444, 154, 35, 44
445, 156, 33, 42
443, 162, 31, 39
442, 166, 28, 37
443, 168, 29, 39
449, 171, 30, 42
455, 176, 30, 42
461, 180, 27, 38
466, 183, 27, 36
473, 184, 27, 36
477, 187, 26, 34
483, 189, 25, 33
486, 194, 24, 31
486, 202, 25, 32
488, 210, 25, 32
486, 217, 25, 30
490, 223, 26, 29
492, 226, 28, 29
489, 232, 32, 31
494, 239, 31, 29
493, 245, 30, 27
495, 252, 26, 22
503, 255, 25, 21
507, 263, 23, 19
513, 268, 18, 16
514, 273, 18, 15
513, 282, 18, 13
509, 287, 19, 13
509, 291, 18, 12
513, 294, 18, 11
514, 294, 20, 10
508, 293, 29, 14
492, 289, 55, 26
494, 304, 45, 22
496, 308, 40, 20
503, 308, 40, 20
493, 304, 44, 23
494, 303, 44, 23
496, 300, 47, 25
506, 300, 45, 24
510, 300, 46, 23
511, 297, 47, 23
511, 292, 47, 23
507, 287, 49, 24
508, 283, 52, 25
507, 274, 63, 30
500, 269, 70, 34
493, 264, 75, 38
490, 259, 81, 42
486, 255, 86, 45
482, 251, 92, 50
478, 247, 99, 56
468, 242, 113, 70
453, 240, 129, 84
438, 244, 128, 88
427, 242, 128, 95
422, 242, 131, 104
411, 236, 139, 114
376, 222, 162, 134
341, 241, 173, 145
334, 257, 158, 139
344, 241, 153, 145
346, 242, 142, 145
340, 230, 136, 152
337, 208, 131, 159
341, 215, 121, 157
341, 203, 116, 161
325, 183, 119, 172
