791.0, 239.0, 42.0, 72.0
791.0, 239.0, 42.0, 72.0
791.0, 241.0, 42.0, 72.0
791.0, 242.0, 42.0, 72.0
792.0, 243.0, 42.0, 72.0
792.0, 243.0, 42.0, 72.0
792.0, 244.0, 42.0, 72.0
792.0, 244.0, 42.0, 72.0
792.0, 245.0, 42.0, 72.0
792.0, 244.0, 42.0, 72.0
792.0, 244.0, 42.0, 72.0
792.0, 244.0, 42.0, 72.0
791.0, 244.0, 42.0, 72.0
790.0, 244.0, 42.0, 72.0
791.0, 246.0, 42.0, 72.0
789.0, 247.0, 42.0, 72.0
790.0, 248.0, 42.0, 72.0
788.0, 249.0, 42.0, 72.0
786.0, 249.0, 42.0, 72.0
787.0, 249.0, 42.0, 72.0
786.0, 249.0, 42.0, 72.0
785.0, 249.0, 42.0, 72.0
784.0, 249.0, 42.0, 72.0
783.0, 249.0, 42.0, 72.0
782.0, 249.0, 42.0, 72.0
781.0, 250.0, 42.0, 72.0
781.0, 250.0, 42.0, 72.0
780.0, 252.0, 42.0, 72.0
779.0, 254.0, 42.0, 72.0
778.0, 255.0, 42.0, 72.0
777.0, 254.0, 42.0, 72.0
776.0, 255.0, 42.0, 72.0
776.0, 255.0, 42.0, 72.0
775.0, 254.0, 42.0, 72.0
774.0, 254.0, 42.0, 72.0
774.0, 254.0, 42.0, 72.0
773.0, 254.0, 42.0, 72.0
773.0, 256.0, 42.0, 72.0
770.0, 257.0, 42.0, 72.0
771.0, 257.0, 42.0, 72.0
770.0, 259.0, 42.0, 72.0
769.0, 259.0, 42.0, 72.0
767.0, 259.0, 42.0, 72.0
767.0, 259.0, 42.0, 72.0
767.0, 259.0, 42.0, 72.0
766.0, 259.0, 42.0, 72.0
765.0, 259.0, 42.0, 72.0
764.0, 259.0, 42.0, 72.0
762.0, 260.0, 42.0, 72.0
763.0, 262.0, 42.0, 72.0
762.0, 263.0, 42.0, 72.0
761.0, 264.0, 42.0, 72.0
760.0, 264.0, 42.0, 72.0
759.0, 266.0, 42.0, 72.0
758.0, 267.0, 42.0, 72.0
758.0, 266.0, 42.0, 72.0
757.0, 266.0, 42.0, 72.0
757.0, 266.0, 42.0, 72.0
756.0, 266.0, 42.0, 72.0
755.0, 266.0, 42.0, 72.0
755.0, 266.0, 42.0, 72.0
754.0, 267.0, 42.0, 72.0
753.0, 268.0, 42.0, 72.0
752.0, 271.0, 42.0, 72.0
751.0, 272.0, 42.0, 72.0
751.0, 273.0, 42.0, 72.0
750.0, 273.0, 42.0, 72.0
749.0, 273.0, 42.0, 72.0
747.0, 273.0, 42.0, 72.0
747.0, 273.0, 42.0, 72.0
746.0, 273.0, 42.0, 72.0
745.0, 273.0, 42.0, 72.0
744.0, 275.0, 42.0, 72.0
743.0, 276.0, 42.0, 72.0
742.0, 277.0, 42.0, 72.0
740.0, 277.0, 42.0, 72.0
