531, 184, 67, 46
531, 184, 67, 46
530, 184, 67, 46
531, 184, 67, 46
531, 184, 67, 46
532, 184, 67, 46
533, 185, 67, 46
533, 185, 67, 46
534, 186, 67, 46
0.0, 0.0, 0.0, 0.0
530, 185, 77, 52
532, 186, 77, 52
534, 187, 77, 52
536, 188, 77, 52
538, 189, 77, 52
0.0, 0.0, 0.0, 0.0
539, 189, 77, 52
541, 190, 77, 52
544, 191, 77, 52
546, 192, 77, 52
549, 193, 77, 52
552, 195, 77, 52
0.0, 0.0, 0.0, 0.0
553, 197, 77, 52
556, 197, 77, 52
559, 198, 77, 52
0.0, 0.0, 0.0, 0.0
560, 199, 77, 52
563, 199, 77, 52
568, 199, 77, 52
0.0, 0.0, 0.0, 0.0
572, 198, 77, 52
576, 198, 77, 52
580, 197, 77, 52
586, 196, 77, 52
0.0, 0.0, 0.0, 0.0
592, 195, 77, 52
597, 194, 77, 52
603, 193, 77, 52
609, 192, 77, 52
614, 191, 77, 52
0.0, 0.0, 0.0, 0.0
618, 189, 77, 52
623, 188, 77, 52
630, 188, 77, 52
634, 187, 77, 52
639, 187, 77, 52
0.0, 0.0, 0.0, 0.0
645, 187, 77, 52
651, 187, 77, 52
656, 187, 77, 52
661, 186, 77, 52
0.0, 0.0, 0.0, 0.0
665, 184, 77, 52
671, 183, 77, 52
676, 183, 77, 52
681, 182, 77, 52
0.0, 0.0, 0.0, 0.0
686, 179, 77, 52
692, 179, 77, 52
697, 179, 77, 52
0.0, 0.0, 0.0, 0.0
700, 177, 77, 52
705, 177, 77, 52
712, 177, 77, 52
0.0, 0.0, 0.0, 0.0
718, 175, 77, 52
722, 175, 77, 52
0.0, 0.0, 0.0, 0.0
724, 176, 77, 52
729, 176, 77, 52
0.0, 0.0, 0.0, 0.0
735, 175, 77, 52
737, 175, 77, 52
0.0, 0.0, 0.0, 0.0
736, 175, 77, 52
737, 175, 77, 52
740, 175, 77, 52
0.0, 0.0, 0.0, 0.0
742, 174, 77, 52
742, 174, 77, 52
0.0, 0.0, 0.0, 0.0
740, 174, 77, 52
741, 174, 77, 52
0.0, 0.0, 0.0, 0.0
743, 173, 77, 52
744, 173, 77, 52
0.0, 0.0, 0.0, 0.0
744, 173, 77, 52
745, 173, 77, 52
746, 172, 77, 52
746, 172, 77, 52
746, 172, 77, 52
0.0, 0.0, 0.0, 0.0
745, 170, 77, 52
746, 170, 77, 52
745, 169, 77, 52
747, 169, 77, 52
748, 168, 77, 52
0.0, 0.0, 0.0, 0.0
919, 391, 61, 96
916, 387, 61, 96
911, 383, 61, 96
908, 377, 61, 96
903, 372, 61, 96
899, 366, 61, 96
896, 362, 61, 96
891, 358, 61, 96
0.0, 0.0, 0.0, 0.0
869, 364, 77, 52
865, 360, 77, 52
862, 355, 77, 52
858, 350, 77, 52
0.0, 0.0, 0.0, 0.0
854, 347, 77, 52
852, 343, 77, 52
850, 338, 77, 52
849, 334, 77, 52
849, 330, 77, 52
0.0, 0.0, 0.0, 0.0
848, 325, 77, 52
848, 322, 77, 52
848, 319, 77, 52
848, 317, 77, 52
849, 314, 77, 52
850, 312, 77, 52
851, 310, 77, 52
853, 308, 77, 52
855, 306, 77, 52
857, 304, 77, 52
859, 303, 77, 52
861, 301, 77, 52
0.0, 0.0, 0.0, 0.0
862, 297, 77, 52
864, 295, 77, 52
867, 295, 77, 52
871, 294, 77, 52
874, 292, 77, 52
877, 292, 77, 52
881, 292, 77, 52
885, 291, 77, 52
889, 290, 77, 52
893, 289, 77, 52
0.0, 0.0, 0.0, 0.0
896, 287, 77, 52
900, 287, 77, 52
905, 287, 77, 52
910, 287, 77, 52
914, 287, 77, 52
919, 287, 77, 52
925, 287, 77, 52
931, 287, 77, 52
936, 286, 77, 52
941, 286, 77, 52
947, 286, 77, 52
952, 286, 77, 52
957, 286, 77, 52
963, 286, 77, 52
